G,2022-10-19 12:08:11.957101,0.19,0.05,0.84,3.72,-18.98,-24.84,22.18,56.16,-160.91,1
G,2022-10-19 12:08:11.967102,0.16,-0.06,0.91,-1.46,-28.02,-52.25,22.18,56.16,-160.91,1
G,2022-10-19 12:08:11.997101,0.09,-0.20,0.92,9.22,-26.92,-17.76,17.86,53.28,-161.05,1
G,2022-10-19 12:08:12.007113,0.32,-0.18,0.80,24.05,-38.94,-0.67,17.86,53.28,-161.05,1
G,2022-10-19 12:08:12.037105,0.15,-0.15,1.01,20.75,-53.47,7.45,17.86,53.28,-161.05,1
G,2022-10-19 12:08:12.057771,0.14,-0.20,1.02,38.02,8.18,2.08,12.94,53.76,-157.76,1
G,2022-10-19 12:08:12.074814,0.16,-0.19,0.99,12.76,-1.16,-7.45,12.94,53.76,-157.76,1
G,2022-10-19 12:08:12.091452,0.20,-0.19,0.97,7.39,-3.23,-10.07,13.51,54.88,-159.09,1
G,2022-10-19 12:08:12.111695,0.12,-0.33,0.51,1.46,41.08,67.14,13.51,54.88,-159.09,1
G,2022-10-19 12:08:12.131669,0.17,-0.34,0.69,10.50,4.58,41.32,13.51,54.88,-159.09,1
G,2022-10-19 12:08:12.151888,0.25,-0.55,0.61,-8.97,0.12,25.70,14.81,59.03,-159.36,1
G,2022-10-19 12:08:12.172345,0.07,-0.24,0.83,-42.54,-8.42,24.54,14.81,59.03,-159.36,1
G,2022-10-19 12:08:12.192398,0.17,-0.08,0.80,-59.39,-13.92,22.58,12.81,63.79,-161.17,1
G,2022-10-19 12:08:12.212325,0.06,0.09,0.82,-56.58,-13.67,16.91,12.81,63.79,-161.17,1
G,2022-10-19 12:08:12.232327,-0.01,0.28,0.95,-42.11,-16.30,7.02,12.81,63.79,-161.17,1
G,2022-10-19 12:08:12.252326,0.05,0.35,1.00,-27.71,-15.01,-7.02,11.89,69.35,-160.53,1
G,2022-10-19 12:08:12.272335,0.09,0.31,1.01,-12.45,-13.43,-16.30,11.89,69.35,-160.53,1
G,2022-10-19 12:08:12.292967,0.07,0.30,1.02,2.01,-19.96,-11.66,11.02,69.89,-158.61,1
G,2022-10-19 12:08:12.312989,0.06,0.30,1.06,26.73,-20.14,-12.94,11.02,69.89,-158.61,1
G,2022-10-19 12:08:12.335645,0.12,0.13,1.03,33.39,-16.66,-16.48,11.02,69.89,-158.61,1
G,2022-10-19 12:08:12.356150,0.13,0.07,1.13,33.69,-11.11,-19.04,10.40,67.68,-154.99,1
G,2022-10-19 12:08:12.366400,0.22,0.09,1.19,26.86,11.29,-27.22,10.40,67.68,-154.99,1
G,2022-10-19 12:08:12.387309,0.24,0.01,1.22,23.62,24.66,-32.53,9.99,62.43,-155.08,1
G,2022-10-19 12:08:12.409003,0.23,-0.08,1.16,26.67,28.14,-34.06,9.99,62.43,-155.08,1
G,2022-10-19 12:08:12.429351,0.24,-0.17,1.11,33.39,15.69,-25.02,9.99,62.43,-155.08,1
G,2022-10-19 12:08:12.449435,0.23,-0.19,1.13,31.25,9.83,-27.65,10.90,57.98,-154.60,1
G,2022-10-19 12:08:12.469958,0.28,-0.29,1.01,21.48,20.02,-30.15,10.90,57.98,-154.60,1
G,2022-10-19 12:08:12.489971,0.26,-0.31,1.01,19.84,18.01,-16.91,13.24,54.37,-155.85,1
G,2022-10-19 12:08:12.510253,0.23,-0.35,0.90,14.34,16.85,-3.91,13.24,54.37,-155.85,1
G,2022-10-19 12:08:12.530251,0.22,-0.35,0.85,9.83,12.70,-0.67,13.24,54.37,-155.85,1
G,2022-10-19 12:08:12.550992,0.21,-0.30,0.89,0.00,10.74,-2.87,13.57,53.48,-157.32,1
G,2022-10-19 12:08:12.571586,0.19,-0.28,0.83,-9.22,16.17,-4.82,13.57,53.48,-157.32,1
G,2022-10-19 12:08:12.581732,0.13,-0.23,0.72,-5.98,12.70,2.26,13.57,53.48,-157.32,1
G,2022-10-19 12:08:12.602262,0.18,-0.24,0.80,-1.34,3.30,8.00,13.70,53.43,-156.54,1
G,2022-10-19 12:08:12.622358,0.11,-0.14,0.77,-7.69,-2.99,7.26,13.70,53.43,-156.54,1
