p,2022-10-17 09:51:06.857153,0.25,0.34,1.03,-49.19,37.23,-2.93,73.29,47.53,-25.65,1
p,2022-10-17 09:51:06.865778,0.25,0.35,1.01,-30.52,34.55,-2.26,73.29,47.53,-25.65,1
p,2022-10-17 09:51:06.874138,0.27,0.30,1.00,-23.99,30.03,-3.23,73.29,47.53,-25.65,1
p,2022-10-17 09:51:06.882549,0.30,0.24,1.01,-21.91,24.17,-4.33,73.29,47.53,-25.65,1
p,2022-10-17 09:51:06.890998,0.32,0.21,0.97,-21.30,17.88,-5.98,73.29,47.53,-25.65,1
p,2022-10-17 09:51:06.899356,0.36,0.19,0.94,-21.79,10.80,-9.22,73.29,47.53,-25.65,1
p,2022-10-17 09:51:06.908669,0.39,0.17,0.91,-29.97,4.21,-11.96,71.90,49.19,-24.15,1
p,2022-10-17 09:51:06.917088,0.34,0.30,0.86,-36.38,-0.92,-12.57,71.90,49.19,-24.15,1
p,2022-10-17 09:51:06.924555,0.34,0.30,0.86,-36.93,-4.58,-10.38,71.90,49.19,-24.15,1
p,2022-10-17 09:51:06.933154,0.32,0.36,0.80,-32.59,-8.61,-6.16,71.90,49.19,-24.15,1
p,2022-10-17 09:51:06.941650,0.28,0.32,0.79,-27.16,-14.28,-0.79,71.90,49.19,-24.15,1
p,2022-10-17 09:51:06.948118,0.28,0.32,0.79,-27.16,-14.28,-0.79,71.90,49.19,-24.15,1
p,2022-10-17 09:51:06.957401,0.30,0.26,0.77,-24.11,-21.06,10.50,69.42,50.13,-23.51,1
p,2022-10-17 09:51:06.965774,0.29,0.20,0.74,-22.28,-38.64,15.69,69.42,50.13,-23.51,1
p,2022-10-17 09:51:06.974055,0.21,0.17,0.69,-22.40,-46.45,21.85,69.42,50.13,-23.51,1
p,2022-10-17 09:51:06.982349,0.16,0.15,0.61,-7.20,-47.55,23.25,69.42,50.13,-23.51,1
p,2022-10-17 09:51:06.990686,-1.44,0.41,0.24,80.87,-4.21,7.45,69.42,50.13,-23.51,1
p,2022-10-17 09:51:06.998906,0.11,0.35,0.98,39.55,11.78,5.55,69.42,50.13,-23.51,1
p,2022-10-17 09:51:07.007103,0.14,0.47,0.53,39.55,11.78,5.55,69.15,50.60,-22.20,1
p,2022-10-17 09:51:07.015364,0.17,-0.06,0.70,5.13,19.10,8.06,69.15,50.60,-22.20,1
p,2022-10-17 09:51:07.022882,-0.69,-0.29,2.10,5.13,19.10,8.06,69.15,50.60,-22.20,1
p,2022-10-17 09:51:07.031328,0.32,-0.03,0.76,-39.61,-57.19,5.31,69.15,50.60,-22.20,1
p,2022-10-17 09:51:07.039655,0.04,0.38,0.59,-5.13,-85.02,2.50,69.15,50.60,-22.20,1
p,2022-10-17 09:51:07.047002,0.02,0.29,0.86,-5.13,-85.02,2.50,69.15,50.60,-22.20,1
p,2022-10-17 09:51:07.056135,0.07,0.36,0.77,10.50,-96.50,9.83,69.81,50.52,-22.47,1
p,2022-10-17 09:51:07.064337,0.18,0.34,0.45,19.96,-108.46,19.04,69.81,50.52,-22.47,1
p,2022-10-17 09:51:07.072662,0.09,0.34,0.42,25.33,-105.29,27.83,69.81,50.52,-22.47,1
p,2022-10-17 09:51:07.080551,0.15,0.29,0.48,32.23,-95.95,36.38,0.00,0.00,ovf,1
p,2022-10-17 09:51:07.088635,0.13,0.23,0.55,37.78,-84.78,40.95,0.00,0.00,ovf,1
p,2022-10-17 09:51:07.096564,0.18,0.26,0.61,44.49,-73.30,41.14,0.00,0.00,ovf,1
p,2022-10-17 09:51:07.105972,0.17,0.30,0.70,42.66,-60.18,37.84,72.13,49.56,-23.57,1
p,2022-10-17 09:51:07.114154,0.16,0.28,0.86,45.72,-45.17,33.57,72.13,49.56,-23.57,1
p,2022-10-17 09:51:07.122349,0.16,0.32,1.02,36.25,-28.50,26.37,72.13,49.56,-23.57,1
p,2022-10-17 09:51:07.130662,0.22,0.34,1.13,29.60,-15.38,21.24,72.13,49.56,-23.57,1
p,2022-10-17 09:51:07.138887,0.27,0.33,1.27,19.90,-3.05,17.09,72.13,49.56,-23.57,1
p,2022-10-17 09:51:07.147152,0.28,0.29,1.19,9.28,8.67,12.33,72.13,49.56,-23.57,1
p,2022-10-17 09:51:07.156435,0.22,0.49,1.52,2.20,26.49,2.87,75.05,48.13,-24.84,1
p,2022-10-17 09:51:07.164616,0.25,0.51,1.44,-5.37,31.43,3.78,75.05,48.13,-24.84,1
p,2022-10-17 09:51:07.172011,0.20,0.51,1.76,-5.37,31.43,3.78,75.05,48.13,-24.84,1
p,2022-10-17 09:51:07.180274,0.17,0.31,1.70,-9.95,12.21,10.80,75.05,48.13,-24.84,1
p,2022-10-17 09:51:07.188642,0.14,0.22,1.54,-4.64,-13.24,13.18,75.05,48.13,-24.84,1
p,2022-10-17 09:51:07.196989,0.14,0.15,1.42,-0.24,-34.06,11.29,75.05,48.13,-24.84,1
