y,2022-10-20 13:32:06.049173,0.36,1.00,0.08,-36.25,55.30,23.86,13.29,7.20,-18.42,1
y,2022-10-20 13:32:06.067225,0.34,1.01,0.01,-79.22,39.25,28.81,15.71,8.14,-19.09,1
y,2022-10-20 13:32:06.086348,0.19,1.09,-0.23,-83.01,36.19,29.11,15.71,8.14,-19.09,1
y,2022-10-20 13:32:06.106379,0.15,1.12,-0.40,-82.21,41.20,26.61,19.09,9.62,-17.42,1
y,2022-10-20 13:32:06.124114,0.17,1.13,-0.46,-77.64,45.84,26.86,19.09,9.62,-17.42,1
y,2022-10-20 13:32:06.143378,0.07,1.10,-0.39,-66.65,33.39,26.12,19.09,9.62,-17.42,1
y,2022-10-20 13:32:06.161655,0.02,1.05,-0.41,-61.52,18.07,23.01,21.14,12.92,-16.00,1
y,2022-10-20 13:32:06.180929,-0.04,1.06,-0.47,-64.03,1.59,16.48,21.14,12.92,-16.00,1
y,2022-10-20 13:32:06.200085,-0.09,1.10,-0.63,-59.02,-2.44,3.78,21.14,12.92,-16.00,1
y,2022-10-20 13:32:06.218821,-0.17,1.04,-0.54,-10.62,23.19,2.08,21.53,16.05,-13.70,1
y,2022-10-20 13:32:06.240990,-0.05,0.92,-0.37,4.58,24.90,4.76,21.53,16.05,-13.70,1
y,2022-10-20 13:32:06.257211,0.01,0.82,-0.30,-8.91,9.52,9.77,21.00,20.01,-12.67,1
y,2022-10-20 13:32:06.276051,-0.09,0.88,-0.51,-37.23,-8.54,9.34,21.00,20.01,-12.67,1
y,2022-10-20 13:32:06.300859,-0.07,0.84,-0.51,-22.22,-12.51,8.06,21.00,20.01,-12.67,1
y,2022-10-20 13:32:06.315033,-0.08,0.85,-0.43,-11.66,-22.77,9.28,20.96,23.07,-12.45,1
y,2022-10-20 13:32:06.333344,-0.14,0.82,-0.41,-8.36,-46.08,6.53,20.96,23.07,-12.45,1
y,2022-10-20 13:32:06.353044,-0.24,0.81,-0.24,-17.52,-40.41,-7.26,20.96,23.07,-12.45,1
y,2022-10-20 13:32:06.371555,-0.03,1.10,-0.49,5.68,-9.70,-35.28,20.50,26.00,-12.73,1
y,2022-10-20 13:32:06.389861,0.00,0.91,-0.32,-2.87,3.23,-38.27,20.50,26.00,-12.73,1
y,2022-10-20 13:32:06.410115,-0.06,0.99,-0.29,-24.78,-10.50,-28.75,21.57,27.25,-11.07,1
y,2022-10-20 13:32:06.428385,0.00,0.99,-0.23,0.31,-9.34,-5.19,21.57,27.25,-11.07,1
y,2022-10-20 13:32:06.448639,0.08,0.84,-0.32,2.93,-13.49,2.93,21.57,27.25,-11.07,1
y,2022-10-20 13:32:06.467664,0.10,0.88,-0.40,-10.44,-14.10,-0.67,21.17,26.94,-11.17,1
y,2022-10-20 13:32:06.487192,-0.06,0.98,-0.34,-17.52,-8.79,-1.22,21.17,26.94,-11.17,1
y,2022-10-20 13:32:06.504707,0.24,1.12,-0.49,21.18,2.87,60.42,21.17,26.94,-11.17,1
y,2022-10-20 13:32:06.524688,0.05,0.91,-0.19,66.16,9.22,64.09,21.17,26.21,-9.45,1
y,2022-10-20 13:32:06.543057,0.09,0.79,-0.40,34.00,9.28,60.85,21.17,26.21,-9.45,1
y,2022-10-20 13:32:06.564369,0.01,0.96,-0.41,20.14,11.17,54.93,21.13,24.46,-12.63,1
y,2022-10-20 13:32:06.581134,-0.04,1.00,-0.32,33.63,11.96,49.44,21.13,24.46,-12.63,1
y,2022-10-20 13:32:06.598895,0.06,0.89,-0.28,38.70,5.86,46.02,21.13,24.46,-12.63,1
y,2022-10-20 13:32:06.618962,0.02,0.93,-0.31,23.19,1.10,31.43,20.43,23.60,-12.02,1
y,2022-10-20 13:32:06.637435,0.02,1.07,-0.27,26.86,3.91,14.53,20.43,23.60,-12.02,1
y,2022-10-20 13:32:06.655401,-0.05,1.04,-0.10,40.95,4.39,13.73,20.43,23.60,-12.02,1
y,2022-10-20 13:32:06.674998,-0.03,0.75,0.08,42.72,-18.19,3.17,20.67,24.02,-11.46,1
