i,2022-10-30 14:43:57.890959,0.38,-0.73,0.66,2.56,-27.95,1.77,-40.55,85.60,-111.28,1
i,2022-10-30 14:43:57.910957,0.31,-0.77,0.67,-17.76,-18.86,0.61,-40.49,85.63,-113.29,1
i,2022-10-30 14:43:57.936216,0.22,-0.77,0.71,-23.93,-14.28,13.73,-40.49,85.63,-113.29,1
i,2022-10-30 14:43:57.956402,0.26,-0.54,0.80,-38.09,-2.01,17.03,-40.49,85.63,-113.29,1
i,2022-10-30 14:43:57.976398,0.24,-0.55,0.78,-42.72,6.71,5.37,-36.50,84.07,-113.90,1
i,2022-10-30 14:43:57.996402,0.32,-0.41,0.78,-47.06,11.47,-5.86,-36.50,84.07,-113.90,1
i,2022-10-30 14:43:58.016402,0.34,-0.33,0.63,-62.74,10.74,-26.18,-31.30,80.05,-115.76,1
i,2022-10-30 14:43:58.036910,0.06,-0.14,1.17,2.38,27.16,-24.05,-31.30,80.05,-115.76,1
i,2022-10-30 14:43:58.057363,0.11,-0.55,0.73,11.11,5.00,8.67,-30.02,80.19,-117.83,1
i,2022-10-30 14:43:58.078188,0.21,-0.48,0.72,-57.86,14.16,12.57,-30.02,80.19,-117.83,1
i,2022-10-30 14:43:58.088297,0.21,-0.56,0.82,24.90,-64.70,-75.07,-30.02,80.19,-117.83,1
i,2022-10-30 14:43:58.118181,0.15,-0.57,0.69,-4.88,-46.69,-69.76,-35.75,83.33,-124.02,1
i,2022-10-30 14:43:58.138185,0.16,-0.59,0.86,-18.80,-30.94,-82.64,-35.75,83.33,-124.02,1
i,2022-10-30 14:43:58.158697,0.22,-0.59,0.88,-18.25,-28.38,-62.38,-48.27,87.71,-134.13,1
i,2022-10-30 14:43:58.178695,0.19,-0.57,0.96,-7.39,-23.93,-41.81,-48.27,87.71,-134.13,1
i,2022-10-30 14:43:58.198695,0.16,-0.81,1.33,15.26,-39.98,-19.29,-48.27,87.71,-134.13,1
i,2022-10-30 14:43:58.219805,0.02,-0.99,1.40,1.71,-10.74,2.81,-56.97,90.43,-136.33,1
i,2022-10-30 14:43:58.240247,0.03,-0.58,1.32,29.54,35.95,67.50,-56.97,90.43,-136.33,1
i,2022-10-30 14:43:58.261740,0.27,-0.55,0.96,34.91,40.04,72.81,-46.01,88.68,-128.50,1
i,2022-10-30 14:43:58.281773,0.33,-0.59,0.76,6.23,39.25,54.57,-46.01,88.68,-128.50,1
i,2022-10-30 14:43:58.301773,0.20,-0.51,0.64,-13.98,30.82,33.45,-46.01,88.68,-128.50,1
i,2022-10-30 14:43:58.322381,0.33,-0.46,0.60,-10.99,12.88,31.92,-35.88,80.31,-118.51,1
i,2022-10-30 14:43:58.342408,0.52,-0.31,0.36,-17.40,8.36,15.26,-35.88,80.31,-118.51,1
i,2022-10-30 14:43:58.362407,0.48,-0.41,0.37,-27.34,3.17,-25.15,-33.25,74.87,-112.49,1
i,2022-10-30 14:43:58.382903,0.36,-0.42,0.51,-33.87,-25.15,-27.28,-33.25,74.87,-112.49,1
