N,2022-10-22 15:33:06.791677,0.35,-0.38,1.01,13.18,-47.91,-39.25,-6.27,34.30,-30.19,1
N,2022-10-22 15:33:06.809651,0.28,-0.42,0.96,15.50,-52.55,-33.94,-6.27,34.30,-30.19,1
N,2022-10-22 15:33:06.827686,0.12,-0.46,0.89,16.17,-63.60,-7.93,-6.27,34.30,-30.19,1
N,2022-10-22 15:33:06.846830,-0.03,-0.73,0.78,9.52,-68.54,13.18,-6.79,34.18,-27.87,1
N,2022-10-22 15:33:06.864732,-0.09,-0.84,0.70,1.34,-57.92,10.56,-6.79,34.18,-27.87,1
N,2022-10-22 15:33:06.883970,-0.01,-0.65,0.76,-11.90,-33.02,-7.87,-6.47,34.28,-27.06,1
N,2022-10-22 15:33:06.901758,0.02,-0.44,0.86,-20.08,-10.99,-15.01,-6.47,34.28,-27.06,1
N,2022-10-22 15:33:06.919681,0.04,-0.37,0.92,-27.10,4.15,-14.28,-6.47,34.28,-27.06,1
N,2022-10-22 15:33:06.938840,0.03,-0.36,1.00,-27.04,5.49,-18.13,-6.95,33.69,-27.80,1
N,2022-10-22 15:33:06.956918,-0.13,-0.40,0.98,-20.32,4.21,-30.58,-6.95,33.69,-27.80,1
N,2022-10-22 15:33:06.974796,-0.15,-0.33,0.95,-17.52,2.44,-42.91,-6.95,33.69,-27.80,1
N,2022-10-22 15:33:06.993735,-0.15,-0.30,0.94,-11.05,-1.10,-44.56,-8.24,33.02,-28.27,1
N,2022-10-22 15:33:07.011742,-0.16,-0.32,0.93,-8.61,-5.62,-34.18,-8.24,33.02,-28.27,1
N,2022-10-22 15:33:07.029724,-0.51,-0.15,0.88,-3.17,-2.32,-21.24,-8.24,33.02,-28.27,1
N,2022-10-22 15:33:07.048874,-0.08,-0.38,1.03,21.97,-3.60,-6.90,-9.59,32.63,-28.71,1
N,2022-10-22 15:33:07.066739,-0.12,-0.16,0.85,20.81,-6.23,-4.46,-9.59,32.63,-28.71,1
N,2022-10-22 15:33:07.085848,-0.18,-0.28,0.84,25.39,20.39,11.90,-9.39,33.06,-28.49,1
N,2022-10-22 15:33:07.103518,-0.16,-0.31,0.89,15.08,78.61,30.52,-9.39,33.06,-28.49,1
N,2022-10-22 15:33:07.121560,-0.08,-0.23,0.82,-22.95,115.36,46.33,-9.39,33.06,-28.49,1
N,2022-10-22 15:33:07.140550,-0.04,-0.31,0.99,-48.28,107.24,49.19,-9.33,34.39,-30.46,1
N,2022-10-22 15:33:07.158702,-0.03,-0.37,1.08,-32.35,81.42,38.94,-9.33,34.39,-30.46,1
N,2022-10-22 15:33:07.176558,0.02,-0.42,0.94,-11.72,54.93,22.40,-9.33,34.39,-30.46,1
N,2022-10-22 15:33:07.195466,0.01,-0.32,1.09,2.87,33.57,8.97,-9.09,35.24,-32.51,1
