v,2022-10-17 09:59:10.010544,-0.06,0.87,0.52,2.08,5.98,-24.54,64.17,1.77,-23.57,1
v,2022-10-17 09:59:10.018518,-0.03,0.84,0.52,-2.69,8.30,-20.45,0.00,0.00,ovf,1
v,2022-10-17 09:59:10.025615,-0.02,0.80,0.51,-2.69,8.30,-20.45,0.00,0.00,ovf,1
v,2022-10-17 09:59:10.033644,-0.04,0.78,0.49,-7.39,8.06,-18.31,0.00,0.00,ovf,1
v,2022-10-17 09:59:10.041622,-0.03,0.76,0.46,-11.11,8.00,-16.97,0.00,0.00,ovf,1
v,2022-10-17 09:59:10.049621,-0.00,0.73,0.43,-13.49,8.61,-16.48,0.00,0.00,ovf,1
v,2022-10-17 09:59:10.059154,0.00,0.75,0.43,-16.30,9.34,-16.36,65.58,1.81,-23.39,1
v,2022-10-17 09:59:10.067505,0.00,0.75,0.41,-19.23,10.07,-15.87,65.58,1.81,-23.39,1
v,2022-10-17 09:59:10.075860,0.01,0.77,0.38,-21.42,10.68,-15.75,65.58,1.81,-23.39,1
v,2022-10-17 09:59:10.084307,0.02,0.80,0.37,-22.95,11.11,-16.05,65.58,1.81,-23.39,1
v,2022-10-17 09:59:10.092860,-0.00,0.83,0.35,-24.66,11.29,-16.54,65.58,1.81,-23.39,1
v,2022-10-17 09:59:10.101258,-0.01,0.87,0.33,-25.02,12.27,-17.09,65.58,1.81,-23.39,1
v,2022-10-17 09:59:10.110654,-0.01,0.90,0.32,-23.07,13.67,-17.58,66.80,1.23,-22.67,1
v,2022-10-17 09:59:10.119016,-0.02,0.92,0.32,-15.26,18.80,-19.10,66.80,1.23,-22.67,1
v,2022-10-17 09:59:10.126479,0.01,0.93,0.32,-15.26,18.80,-19.10,66.80,1.23,-22.67,1
v,2022-10-17 09:59:10.134840,0.04,0.92,0.34,-11.41,21.67,-20.51,66.80,1.23,-22.67,1
v,2022-10-17 09:59:10.143261,0.06,0.90,0.38,-10.44,23.56,-21.85,66.80,1.23,-22.67,1
v,2022-10-17 09:59:10.150546,0.08,0.88,0.42,-10.44,23.56,-21.85,66.80,1.23,-22.67,1
v,2022-10-17 09:59:10.159958,0.09,0.89,0.45,-17.58,23.68,-23.56,67.92,0.24,-23.19,1
v,2022-10-17 09:59:10.167931,0.09,0.88,0.46,-21.61,22.40,-23.56,0.00,0.00,ovf,1
v,2022-10-17 09:59:10.174916,0.12,0.89,0.47,-21.61,22.40,-23.56,0.00,0.00,ovf,1
v,2022-10-17 09:59:10.182937,0.12,0.91,0.45,-30.27,17.70,-22.40,0.00,0.00,ovf,1
v,2022-10-17 09:59:10.190885,0.15,0.92,0.42,-31.98,15.01,-20.20,0.00,0.00,ovf,1
v,2022-10-17 09:59:10.198933,0.15,0.91,0.42,-33.69,12.39,-17.15,0.00,0.00,ovf,1
v,2022-10-17 09:59:10.208453,0.12,0.91,0.40,-36.93,8.85,-13.43,68.57,-1.21,-21.29,1
v,2022-10-17 09:59:10.216928,0.08,0.90,0.37,-39.31,4.58,-9.83,68.57,-1.21,-21.29,1
v,2022-10-17 09:59:10.225485,0.00,0.89,0.35,-39.67,0.12,-6.47,68.57,-1.21,-21.29,1
v,2022-10-17 09:59:10.234091,-0.06,0.87,0.32,-38.27,-3.72,-3.54,68.57,-1.21,-21.29,1
v,2022-10-17 09:59:10.242703,-0.03,0.86,0.28,-32.47,-7.14,-0.55,68.57,-1.21,-21.29,1
v,2022-10-17 09:59:10.250918,0.01,0.84,0.24,-26.25,-10.74,2.20,0.00,0.00,0.00,1
v,2022-10-17 09:59:10.260608,-1.32,0.98,0.16,-16.24,-14.83,5.07,69.31,-2.21,-20.01,1
v,2022-10-17 09:59:10.269089,-0.11,1.32,0.16,40.95,-0.37,16.42,69.31,-2.21,-20.01,1
v,2022-10-17 09:59:10.277577,-0.06,1.07,-0.10,73.18,11.23,25.33,69.31,-2.21,-20.01,1
v,2022-10-17 09:59:10.285900,-0.01,0.63,0.06,80.87,22.46,18.92,69.31,-2.21,-20.01,1
v,2022-10-17 09:59:10.294222,0.01,0.53,0.43,52.43,22.03,7.14,69.31,-2.21,-20.01,1
v,2022-10-17 09:59:10.302526,0.05,0.57,0.45,20.63,17.88,-3.05,69.31,-2.21,-20.01,1
v,2022-10-17 09:59:10.311977,0.02,0.65,0.41,6.96,15.63,-10.44,69.76,-1.54,-22.40,1
v,2022-10-17 09:59:10.320459,-0.08,0.85,0.87,-8.91,8.24,-14.22,69.76,-1.54,-22.40,1
v,2022-10-17 09:59:10.329144,-0.02,0.92,0.69,-49.68,-21.97,-3.66,69.76,-1.54,-22.40,1
v,2022-10-17 09:59:10.337686,-0.05,0.95,0.42,-45.96,-47.85,9.28,69.76,-1.54,-22.40,1
v,2022-10-17 09:59:10.346208,-0.06,0.99,0.26,-33.75,-60.67,22.22,69.76,-1.54,-22.40,1
v,2022-10-17 09:59:10.355664,-0.07,0.96,0.08,-18.80,-64.39,36.44,68.38,-1.22,-19.84,1
v,2022-10-17 09:59:10.364190,-0.08,0.90,0.00,-6.35,-59.45,47.97,68.38,-1.22,-19.84,1
v,2022-10-17 09:59:10.372741,-0.07,0.84,-0.00,4.46,-49.74,54.93,68.38,-1.22,-19.84,1
v,2022-10-17 09:59:10.380802,-0.05,0.75,0.04,12.45,-39.37,56.70,0.00,0.00,ovf,1
v,2022-10-17 09:59:10.388876,-0.03,0.75,0.11,16.72,-29.48,52.55,0.00,0.00,ovf,1
v,2022-10-17 09:59:10.396853,-0.05,0.79,0.20,17.82,-20.20,44.86,0.00,0.00,ovf,1
