l,2022-11-09 18:47:38.061323,0.14,-0.47,0.80,-64.39,-52.19,34.36,30.44,41.86,-44.21,1
l,2022-11-09 18:47:38.092543,-0.05,-0.57,0.77,-71.90,-39.12,11.29,29.10,41.47,-46.00,1
l,2022-11-09 18:47:38.108206,-0.12,-0.53,0.98,-114.44,-6.77,-13.49,29.10,41.47,-46.00,1
l,2022-11-09 18:47:38.124302,-0.16,-0.12,1.19,-172.73,7.63,-14.04,29.09,38.95,-49.11,1
l,2022-11-09 18:47:38.140325,-0.12,0.06,1.30,-180.66,6.84,-6.41,29.09,38.95,-49.11,1
l,2022-11-09 18:47:38.155549,-0.42,0.16,1.26,-163.76,24.35,-23.56,29.09,38.95,-49.11,1
l,2022-11-09 18:47:38.186791,-0.22,0.28,1.41,-121.34,42.91,-26.86,29.69,35.34,-50.81,1
l,2022-11-09 18:47:38.202765,-0.13,0.25,1.51,-4.03,16.54,-36.07,29.69,35.34,-50.81,1
l,2022-11-09 18:47:38.218295,-0.56,-0.11,1.26,36.74,0.18,-40.77,29.69,35.34,-50.81,1
l,2022-11-09 18:47:38.233656,-0.45,0.03,1.15,39.49,10.25,-37.48,30.70,36.30,-48.67,1
l,2022-11-09 18:47:38.264898,-0.35,0.10,1.15,54.81,33.69,-10.44,30.70,36.30,-48.67,1
l,2022-11-09 18:47:38.280518,-0.06,0.13,1.06,82.82,16.85,37.05,31.03,37.57,-46.74,1
l,2022-11-09 18:47:38.296541,0.04,-0.42,0.84,90.64,-15.81,76.35,31.03,37.57,-46.74,1
l,2022-11-09 18:47:38.312106,-0.07,-0.76,0.67,37.17,-26.31,86.36,31.03,37.57,-46.74,1
l,2022-11-09 18:47:38.327776,-0.09,-0.70,0.67,-34.24,-7.93,75.13,33.07,36.12,-46.44,1
l,2022-11-09 18:47:38.359145,0.13,-0.48,0.95,-71.72,16.30,57.80,33.07,36.12,-46.44,1
l,2022-11-09 18:47:38.374771,0.19,-0.33,0.90,-93.75,9.64,31.62,33.07,36.12,-46.44,1
l,2022-11-09 18:47:38.390735,0.08,-0.37,0.92,-116.15,3.30,13.06,34.38,31.92,-47.12,1
l,2022-11-09 18:47:38.406413,0.01,-0.22,1.00,-124.33,-19.59,-25.82,34.38,31.92,-47.12,1
l,2022-11-09 18:47:38.437256,-0.05,-0.15,1.07,-120.91,-33.02,-52.86,34.24,27.83,-48.93,1
l,2022-11-09 18:47:38.452877,-2.85,-0.01,0.85,-117.31,-49.74,-83.13,34.24,27.83,-48.93,1
l,2022-11-09 18:47:38.468797,-0.12,0.67,1.07,-42.05,-16.54,-14.34,34.24,27.83,-48.93,1
l,2022-11-09 18:47:38.484167,-0.24,-0.45,0.82,53.53,-8.61,-11.72,32.19,27.22,-49.46,1
l,2022-11-09 18:47:38.499742,-0.12,-0.25,1.00,23.44,24.35,-68.24,32.19,27.22,-49.46,1
l,2022-11-09 18:47:38.530983,-0.06,0.34,1.06,-5.07,34.18,-85.14,32.19,27.22,-49.46,1
l,2022-11-09 18:47:38.546946,-0.04,0.14,1.00,46.69,39.12,-45.78,31.71,29.03,-48.24,1
l,2022-11-09 18:47:38.562628,-0.01,-0.14,0.87,51.27,35.64,-6.10,31.71,29.03,-48.24,1
l,2022-11-09 18:47:38.578248,-0.02,-0.47,0.70,34.18,41.81,18.31,33.14,30.66,-47.07,1
l,2022-11-09 18:47:38.593480,-0.00,-0.49,0.79,-23.74,67.99,21.61,33.14,30.66,-47.07,1
l,2022-11-09 18:47:38.627006,0.01,-0.13,1.00,-23.50,63.72,22.58,33.14,30.66,-47.07,1
l,2022-11-09 18:47:38.642630,0.02,-0.29,1.01,8.85,44.49,28.50,35.58,29.04,-44.71,1
l,2022-11-09 18:47:38.658649,-0.02,-0.46,0.93,21.97,19.90,21.48,35.58,29.04,-44.71,1
l,2022-11-09 18:47:38.674217,-0.03,-0.35,0.83,26.06,4.27,-0.98,35.58,29.04,-44.71,1
l,2022-11-09 18:47:38.689816,-0.01,-0.07,0.92,6.41,-7.81,1.95,36.10,29.20,-44.70,1
l,2022-11-09 18:47:38.721164,-0.02,-0.36,0.94,21.97,-41.26,22.95,36.10,29.20,-44.70,1
l,2022-11-09 18:47:38.736792,-0.03,-0.61,0.78,12.51,-71.47,12.15,34.80,28.89,-46.39,1
l,2022-11-09 18:47:38.752770,-0.05,-0.33,0.76,-37.35,-77.58,-34.55,34.80,28.89,-46.39,1
