range,low,high,total,retained,retention_pct,discarded,discarded_pct
20-100,20,100,285916,227807,79.67619860378574,58109,20.32380139621427
30-100,30,100,285916,218854,76.54485932931351,67062,23.455140670686493
40-80,40,80,285916,176100,61.59151638942907,109816,38.40848361057094
30-120,30,120,285916,227173,79.4544551546608,58743,20.54554484533919
40-100,40,100,285916,200025,69.9593586927629,85891,30.04064130723709
20-150,20,150,285916,241602,84.5010422641615,44314,15.498957735838498
