q,2022-10-13 18:05:38.914425,0.09,0.43,1.18,-8.61,1.59,-16.66,-11.60,-68.54,-123.06,1
q,2022-10-13 18:05:38.932469,-0.23,0.57,1.54,19.17,3.78,-4.21,-11.60,-68.54,-123.06,1
q,2022-10-13 18:05:38.951175,0.07,0.19,1.04,61.83,38.27,-1.53,-3.82,-67.71,-124.11,1
q,2022-10-13 18:05:38.969264,0.19,-0.04,1.07,8.61,32.10,-18.86,-3.82,-67.71,-124.11,1
q,2022-10-13 18:05:38.988412,0.07,-0.19,0.80,-69.89,31.86,-12.82,-2.72,-70.98,-116.37,1
q,2022-10-13 18:05:39.006362,0.03,-0.02,0.33,-89.90,32.96,6.90,-2.72,-70.98,-116.37,1
q,2022-10-13 18:05:39.024365,-0.05,0.18,0.16,-72.27,14.83,33.26,-2.72,-70.98,-116.37,1
q,2022-10-13 18:05:39.043404,-0.02,0.51,0.23,-43.64,-4.70,44.62,-8.33,-79.35,-110.13,1
q,2022-10-13 18:05:39.061463,-0.02,0.79,0.41,-20.26,-18.13,33.51,-8.33,-79.35,-110.13,1
q,2022-10-13 18:05:39.079297,0.02,1.05,0.78,-7.26,-21.30,21.30,-8.33,-79.35,-110.13,1
q,2022-10-13 18:05:39.098188,0.00,1.06,0.97,2.32,-27.22,10.19,-13.33,-80.44,-114.44,1
q,2022-10-13 18:05:39.116185,0.07,1.05,1.15,7.57,-25.09,0.98,-13.33,-80.44,-114.44,1
q,2022-10-13 18:05:39.135281,0.08,0.92,1.30,19.04,-19.59,-3.42,-11.66,-75.10,-122.49,1
q,2022-10-13 18:05:39.153341,0.09,0.73,1.34,40.89,-11.23,-5.86,-11.66,-75.10,-122.49,1
q,2022-10-13 18:05:39.171211,0.09,0.55,1.32,32.41,3.60,-22.46,-11.66,-75.10,-122.49,1
q,2022-10-13 18:05:39.190286,0.10,0.37,1.18,26.43,19.90,-28.99,-5.93,-69.09,-126.83,1
q,2022-10-13 18:05:39.208245,0.10,0.19,1.05,21.36,27.04,-28.44,-5.93,-69.09,-126.83,1
q,2022-10-13 18:05:39.226423,0.16,0.18,0.96,-1.46,28.99,-23.56,-5.93,-69.09,-126.83,1
q,2022-10-13 18:05:39.245307,0.07,0.05,0.55,-2.75,19.65,-13.98,-1.12,-69.19,-121.28,1
q,2022-10-13 18:05:39.263277,0.01,-0.02,0.27,6.59,1.95,-1.16,-1.12,-69.19,-121.28,1
q,2022-10-13 18:05:39.281310,-0.11,0.03,0.31,11.90,-16.91,6.35,-1.12,-69.19,-121.28,1
q,2022-10-13 18:05:39.300564,-0.17,0.00,-0.04,-55.54,41.63,-24.05,-0.52,-69.15,-118.75,1
q,2022-10-13 18:05:39.318463,-0.01,0.02,0.18,-22.77,-47.55,26.92,-0.52,-69.15,-118.75,1
q,2022-10-13 18:05:39.337242,0.04,0.26,0.43,-19.78,-62.62,37.60,-6.38,-68.44,-127.03,1
q,2022-10-13 18:05:39.355502,-0.01,0.62,0.79,-7.32,-63.42,42.24,-6.38,-68.44,-127.03,1
q,2022-10-13 18:05:39.373260,0.01,0.90,1.05,6.65,-51.94,32.29,-6.38,-68.44,-127.03,1
q,2022-10-13 18:05:39.392283,-0.03,1.08,1.27,26.86,-31.62,10.56,-19.54,-60.55,-138.42,1
q,2022-10-13 18:05:39.410373,-0.02,1.19,1.54,42.42,-15.26,-2.14,-19.54,-60.55,-138.42,1
q,2022-10-13 18:05:39.428222,0.00,1.05,1.47,66.71,-1.71,1.22,-19.54,-60.55,-138.42,1
q,2022-10-13 18:05:39.447311,-0.05,0.86,1.41,92.47,-7.26,-11.17,-25.74,-49.66,-143.13,1
q,2022-10-13 18:05:39.465309,-0.02,0.50,1.25,40.71,23.80,-49.32,-25.74,-49.66,-143.13,1
q,2022-10-13 18:05:39.483223,0.04,-0.02,0.84,29.72,23.07,-26.92,-25.74,-49.66,-143.13,1
q,2022-10-13 18:05:39.502305,0.03,-0.11,0.70,12.27,15.32,-13.37,-23.17,-43.04,-150.04,1
q,2022-10-13 18:05:39.520440,0.00,-0.07,0.61,-10.01,7.08,-9.83,-23.17,-43.04,-150.04,1
q,2022-10-13 18:05:39.539304,-0.03,0.10,0.66,-24.78,4.64,-10.19,-21.81,-44.92,-152.09,1
q,2022-10-13 18:05:39.557363,-0.24,0.42,0.75,-24.35,6.53,-15.87,-21.81,-44.92,-152.09,1
q,2022-10-13 18:05:39.575317,-0.13,0.61,0.80,10.01,1.46,0.67,-21.81,-44.92,-152.09,1
q,2022-10-13 18:05:39.594383,-0.06,0.74,0.95,25.57,-2.20,-3.11,-26.27,-43.38,-151.50,1
